timestamp,transaction_id,product_type,details,amount,price,total_value
2024-05-01,D4H59JEWT2D7DSIHVET7,drinks,,2,9,18
2024-05-01,D222EFSCFMM6VK14CQAT,ticket,2024_20C_014_130,3,10,30
2024-05-01,0LBQ80HK5XVPIKTBLPHW,ticket,2024_20C_014_130,4,11,44
2024-05-01,7ZOCSC0PLUXRZQZYBQYE,snacks,,3,8,24
2024-05-01,UAF8FO12LN5DIM5215RN,ticket,2024_20C_014_130,3,12,36
2024-05-01,8TKS5DCMYA8YZIYS54HB,ticket,2024_20C_014_130,4,12,48
2024-05-01,XW8V9YMGIFBP7HI04SJG,ticket,2024_20C_014_130,2,15,30
2024-05-01,ON4WLCCRNN21R95ZOGDJ,ticket,2024_20C_014_130,1,11,11
2024-05-01,VN8OMD5XED5IWJBC86ZI,snacks,,3,9,27
2024-05-01,QLKXBDRS83WMF1MWDYGL,ticket,2024_20C_014_130,1,9,9
2024-05-01,M8LE6XUGC4GMDMJMY5XN,ticket,2024_20C_014_130,5,8,40
2024-05-01,AGRQEUF8NWKVSO0YBM0J,popcorn,,3,7,21
2024-05-01,PBH47Q67WCIWBK1SG3V1,ticket,2024_20C_014_130,2,13,26
2024-05-01,FTX9Z2QGR0HKCTUR2I4M,ticket,2024_20C_014_130,2,12,24
2024-05-01,IO8CU8CLCHB67HM501FY,ticket,2024_20C_014_130,1,13,13
2024-05-01,NEAOHHYWXG83NJJ0CRHC,ticket,2024_20C_014_130,1,10,10
2024-05-01,0JZA21KXUWH4NOLO733M,ticket,2024_20C_014_130,5,12,60
2024-05-01,F0TSSNGNV0QZFQTXSW6Z,ticket,2024_20C_014_130,4,15,60
2024-05-01,VAU2WCO8YZJCQ9POLHRJ,ticket,2024_20C_014_130,4,9,36
2024-05-01,0Z8LI16GG66VWYUQ6S8J,ticket,2024_20C_014_130,5,9,45
2024-05-01,705IJFE40LAR50YCL7F7,ticket,2024_20C_014_130,4,14,56
2024-05-01,FJ8ZH49RXPY5BXZ0614N,ticket,2024_20C_014_130,3,14,42
2024-05-01,05KHRFBTUDRYTID6MYJ3,drinks,,2,10,20
2024-05-01,K8HX2QNHEGIR4LQ9K7JZ,popcorn,,1,5,5
2024-05-01,Q3T4SMM3FECCNKPPTSKE,ticket,2024_20C_014_130,5,14,70
2024-05-01,3LQAUFRNCI2CUYU6ZQFW,ticket,2024_20C_014_130,5,8,40
2024-05-01,GQRL216MKZP0DZLQ10KS,popcorn,,1,9,9
2024-05-01,F5VQ891QCPEK48OPJG9Z,drinks,,2,9,18
2024-05-01,8NOQE2PXA9O1DS3TQISL,ticket,2024_20C_014_130,5,13,65
2024-05-01,FP3FLN8P82ZAWHFMEIJ3,ticket,2024_20C_014_130,4,10,40
2024-05-01,HKJ885WGBWLOJF7SIZN1,snacks,,1,9,9
2024-05-01,9D2HWSKN185KBB1WBE4G,ticket,2024_20C_014_130,5,15,75
2024-05-01,99WFHB6ZIM193CEMZPZU,ticket,2024_20C_014_130,4,15,60
2024-05-01,DGCV9FNA20WFQKADONFL,ticket,2024_20C_014_130,5,15,75
2024-05-01,CFK9U792JKXYGEUAPKA2,ticket,2024_20C_014_130,2,11,22
2024-05-01,T3JNFNZ87EGCAEDENQLU,ticket,2024_20C_014_130,4,11,44
2024-05-01,OEB7ZRHXLO1Z82XIEM2I,ticket,2024_20C_014_130,1,8,8
2024-05-01,D8QAOZKUFKVYAAN3OZWF,snacks,,2,10,20
2024-05-01,1831JXF2LJ90NT538F3C,ticket,2024_20C_014_130,3,8,24
2024-05-01,8ZURQG104XG2K77FWFL6,ticket,2024_20C_014_130,5,13,65
2024-05-01,YDS67FCO5U1O8B85QDUA,ticket,2024_20C_014_130,2,14,28
2024-05-01,S4JZNM1R3N502JRFV27P,ticket,2024_20C_014_130,3,13,39
2024-05-01,3EYFVJ0510HQKWJFG8SN,ticket,2024_20C_014_130,3,10,30
2024-05-01,4OWQN8EJ2VJECLQQ8SL5,ticket,2024_20C_014_130,3,12,36
2024-05-01,IEEQ9VB1CT3FLKZYIFIU,ticket,2024_20C_014_130,2,14,28
2024-05-01,174PHYB3AIYLHEHVB3ZW,ticket,2024_20C_014_130,5,14,70
2024-05-01,QSO1U9C2BWAF6IBKJ8QW,ticket,2024_20C_014_130,1,11,11
2024-05-01,M2T54K1RIQ1QQ6VZVS9G,ticket,2024_20C_014_130,1,12,12
2024-05-01,7815JWTE7AV87GIMIFO7,ticket,2024_20C_014_130,4,14,56
2024-05-01,TU20RTLB5XIKRB1F1F4S,ticket,2024_20C_014_130,1,12,12
2024-05-01,JVM05W8AQSFPVJ4HBBLX,ticket,2024_20C_014_130,1,11,11
2024-05-01,ZAG5TN202QOJUKFKOTF7,ticket,2024_20C_014_130,2,12,24
2024-05-01,RD7YTRY5P013JZZJNCWZ,ticket,2024_20C_014_130,2,9,18
2024-05-01,3GIJNSU7Y2EQ37U3GR03,drinks,,2,8,16
2024-05-01,60SHQQBFRO9FQG9RNUFM,ticket,2024_20C_014_130,2,14,28
2024-05-01,Z81LCEMP8AP0KECGXGSY,drinks,,3,9,27
2024-05-01,KLY20VS1JD8PO14UBJSU,ticket,2024_20C_014_130,1,8,8
2024-05-01,PQGFBL5BB6ICGE1T96IX,ticket,2024_20C_014_130,2,8,16
2024-05-01,9B55O0PVFXVK6EAZA37L,ticket,2024_20C_014_130,3,11,33
2024-05-01,2MR6X69AHX2ISH71749B,ticket,2024_20C_014_130,3,15,45
2024-05-01,A5ZCAFG70AXF7SYHO74N,ticket,2024_20C_014_130,3,12,36
2024-05-01,7ZFFT07I6YU1KOM21P8I,ticket,2024_20C_014_130,4,14,56
2024-05-01,SIZZN5G52RGUJGMK25IV,ticket,2024_20C_014_130,2,13,26
2024-05-01,78HICXGQR44ZODVXWE3P,ticket,2024_20C_014_130,3,12,36
2024-05-01,WE0DCQ6DQILWNIUOJF87,ticket,2024_20C_014_130,3,15,45
2024-05-01,TKX69D81B14PPSLV3277,drinks,,2,8,16
2024-05-01,OIRQM1ZRN1KMSS6JFN2S,drinks,,1,9,9
2024-05-01,OK8YI0C0H8FIUR1HZLQ7,ticket,2024_20C_014_130,5,11,55
2024-05-01,ZCU6DEW2MHHFGL9RATUI,ticket,2024_20C_014_130,3,12,36
2024-05-01,10HX96K5OIXAIDFWNCRR,ticket,2024_20C_014_130,3,10,30
2024-05-01,GREA7BD0XHJRVXQIX4KW,popcorn,,1,9,9
2024-05-01,BAJ361Z1KR5NEU0H3D4C,ticket,2024_20C_014_130,1,15,15
2024-05-01,IUQPOBTSOVIT2SY1EQO8,ticket,2024_20C_014_130,2,14,28
2024-05-01,3G05F0HID32P99DWQOY3,ticket,2024_20C_014_130,1,9,9
2024-05-01,4D60JPLG68P2MDA492RG,ticket,2024_20C_014_130,4,12,48
2024-05-01,AF25VGR00O14DRK60TF2,ticket,2024_20C_014_130,5,15,75
2024-05-01,LB572QLOTB327KQE1OWU,ticket,2024_20C_014_130,3,8,24
2024-05-01,JBXI0ZQV2BCC9991KZ8F,ticket,2024_20C_014_130,4,9,36
2024-05-01,SQ8G6TQVRP1GP2M0RGDQ,ticket,2024_20C_014_130,3,13,39
2024-05-01,2GUHZZL1S50X2KTPY8EZ,ticket,2024_20C_014_130,1,13,13
2024-05-01,MDSLZKS94659RRK31QAS,ticket,2024_20C_014_130,2,15,30
2024-05-01,W6G8FB7309R6ROZ29TUE,ticket,2024_20C_014_130,1,13,13
2024-05-01,7YFEUG3GCBSGSW82Z00H,ticket,2024_20C_014_130,2,13,26
2024-05-01,KVZE3GA5QSBK9CYIB9E8,ticket,2024_20C_014_130,4,13,52
2024-05-01,9Y17RPNCVR0MMAEEC32Z,ticket,2024_20C_014_130,3,15,45
2024-05-01,PQ9P6CL3G35KYUY0RTFY,ticket,2024_20C_014_130,1,14,14
2024-05-01,JDQAY05AYH2HWOOMD291,ticket,2024_20C_014_130,4,12,48
2024-05-01,3XBH1K8F7KWIE4F251P5,ticket,2024_20C_014_130,1,13,13
2024-05-01,CEYMU1R3YHV78ZF0JE21,drinks,,2,8,16
2024-05-01,Z7TUV2Z0RM7ZUI5OXBNM,ticket,2024_20C_014_130,4,12,48
2024-05-01,381JIZARM0VW163ILJU0,popcorn,,1,7,7
2024-05-01,Q2MSWLTKES69KYFSNOZD,ticket,2024_20C_014_130,4,14,56
2024-05-01,HP3LOB7DD2VHY6SUAO0B,ticket,2024_20C_014_130,2,11,22
2024-05-01,0EK635F2FCB1JQWG0CUB,ticket,2024_20C_014_130,1,8,8
2024-05-01,6BR5KU73O51BVP44MI83,ticket,2024_20C_014_130,1,13,13
2024-05-01,QSYXQMDSKLF63GA7LOIS,snacks,,1,9,9
2024-05-01,VADYOXTQIZFRMKLOGNSM,ticket,2024_20C_014_130,3,12,36
2024-05-01,302NH0PYOA6JXFUP0LVG,ticket,2024_20C_014_130,1,9,9
2024-05-01,1CII0MRUY27E0862M560,popcorn,,1,5,5
2024-05-01,XS70BCAILC8K8TIGX2N1,drinks,,2,10,20
2024-05-01,VV06HK44BSKZRG0CA133,ticket,2024_20C_014_130,5,11,55
2024-05-01,1QYJNGXX817KEA8KR52O,ticket,2024_20C_014_130,3,11,33
2024-05-01,06DHR0BRTLOM8ULV3DOX,ticket,2024_20C_014_130,2,12,24
2024-05-01,MHIMO92P4RT4NEZBLWU2,ticket,2024_20C_014_130,2,15,30
2024-05-01,96P5GM2FKXV3E9OSOHCD,ticket,2024_20C_014_130,3,9,27
2024-05-01,VGRCRXC3WZY9Q4RQ23O6,ticket,2024_20C_014_130,1,12,12
2024-05-01,ELVSARLPRCCI43ODVUSE,ticket,2024_20C_014_130,5,11,55
2024-05-01,45PXH0H8DVK83IGQ7V7Y,ticket,2024_20C_014_130,5,8,40
2024-05-01,WAVJQ2X2ZMEK0FJBZS6V,ticket,2024_20C_014_130,3,13,39
2024-05-01,HN84J0AC2B5A2I0SUJ05,popcorn,,3,6,18
2024-05-01,5SJZVFG65BQFRP58QRBJ,ticket,2024_20C_014_130,1,10,10
2024-05-01,3DE5U4AOE3M98CEJ08RZ,ticket,2024_20C_014_130,5,11,55
2024-05-01,3542Q3Q3RPGKRSAU9JVA,snacks,,2,5,10
2024-05-01,CTWA007X5PEGS3LDGCM6,ticket,2024_20C_014_130,4,11,44
2024-05-01,LOUQ14BV5W8CR33I4S8F,ticket,2024_20C_014_130,3,12,36
2024-05-01,NGT7FM1GEAJPC8XBJNB7,drinks,,2,6,12
2024-05-01,APAT4374FPZPUGGGK0EQ,snacks,,3,10,30
2024-05-01,AQOT9RR0QCPGLOS76D9S,ticket,2024_20C_014_130,3,8,24
2024-05-01,N4U83Y1OVYGELTP1Z6KZ,ticket,2024_20C_014_130,4,14,56
2024-05-01,JH3U5MKWX9O3RI0PELLB,ticket,2024_20C_014_130,5,13,65
2024-05-01,A3CIAH1UGFLKK86ADV7P,ticket,2024_20C_014_130,5,9,45
2024-05-01,PVYBY9XWO9BI3FR48Y0Z,ticket,2024_20C_014_130,5,15,75
2024-05-01,KLHRRLNY05F2F1W1T8GR,ticket,2024_20C_014_130,1,15,15
2024-05-01,K70XU2DTNM2A7WTMUKED,ticket,2024_20C_014_130,1,8,8
2024-05-01,Z2N6XLZUXZ7VESBJZCPQ,ticket,2024_20C_014_130,2,8,16
2024-05-01,Q659OFWOZO2C1OIJZCW5,ticket,2024_20C_014_130,5,14,70
2024-05-01,WJTKEXXXLOPO0HA6CI5C,ticket,2024_20C_014_130,3,13,39
2024-05-01,LIQENYATSOSFMKEBNRPG,ticket,2024_20C_014_130,5,15,75
2024-05-01,JNANLNUIOPM442B4X669,ticket,2024_20C_014_130,5,11,55
2024-05-01,GKS4MT4O22B9KY63TODJ,ticket,2024_20C_014_130,2,12,24
2024-05-01,9SIV120CE28930PTMH83,ticket,2024_20C_014_130,2,12,24
2024-05-01,XSCWDDDYE83KV5QM60CL,ticket,2024_20C_014_130,2,11,22
2024-05-01,GV8CKYXOAVQX60RWV5ZF,ticket,2024_20C_014_130,1,13,13
2024-05-01,S92H5DOX3HTESOI4CEO4,ticket,2024_20C_014_130,1,8,8
2024-05-01,EFGUD13FEQGOFDS3DQHY,ticket,2024_20C_014_130,3,14,42
2024-05-01,D0M7QHPN5HOGNIQPTFZK,ticket,2024_20C_014_130,4,9,36
2024-05-01,SL24AWO3FDUXU6KOOQ4Q,drinks,,1,8,8
2024-05-01,KIKN1MNHHJWXZ2UNCEFL,ticket,2024_20C_014_130,5,14,70
2024-05-01,RZH6YA5TNB220H23MCL2,drinks,,1,10,10
2024-05-01,ESGX0NNCS1AVNRSVB6E1,snacks,,2,9,18
2024-05-01,QDJBD97SYDYUNMYY0TV0,ticket,2024_20C_014_130,5,9,45
2024-05-01,79E88NOLTYM1XC5S4VZE,ticket,2024_20C_014_130,4,12,48
2024-05-01,A7Q6RDH3KAPJ2RQ15ZIM,ticket,2024_20C_014_130,3,12,36
2024-05-01,QLV8Z9XPNEABI9SR5VWL,ticket,2024_20C_014_130,4,9,36
2024-05-01,ANA25QD6Q22YNEAQ0UKL,ticket,2024_20C_014_130,5,12,60
2024-05-01,H7W0F63CIGR9M0AF3UB1,ticket,2024_20C_014_130,4,15,60
2024-05-02,2PAUX55DR62R38IZX8JY,ticket,2024_20C_014_130,3,9,27
2024-05-02,0VP9PEVZBSJNT2UF4B3G,ticket,2024_20C_014_130,2,13,26
2024-05-02,B4BP1OQ58BK82HSV1PH8,snacks,,3,5,15
2024-05-02,RVZE1E3X229NJA77OI64,ticket,2024_20C_014_130,3,10,30
2024-05-02,GV8BL0I42OQNJXQ12F79,ticket,2024_20C_014_130,5,10,50
2024-05-02,PTB312FIFUA9CCSWO4SY,ticket,2024_20C_014_130,3,10,30
2024-05-02,E1I69N5BTGWWUMTLJRBK,ticket,2024_20C_014_130,2,10,20
2024-05-02,A3HX854VIUIGF0SPXDWP,ticket,2024_20C_014_130,5,12,60
2024-05-02,8SCD7K4LTJKUHZ5AQHSA,ticket,2024_20C_014_130,1,15,15
2024-05-02,FSRNZRJ1CQ0CIPPUORKF,ticket,2024_20C_014_130,3,13,39
2024-05-02,KT3KQCD40401E6HST8B7,ticket,2024_20C_014_130,3,10,30
2024-05-02,R8AGHCZYFJ7J8O2GWM6E,ticket,2024_20C_014_130,5,14,70
2024-05-02,FDFGE1F0RYUZMRJ73H8M,ticket,2024_20C_014_130,5,11,55
2024-05-02,10PX1VTZS5ZPW7JF39AU,ticket,2024_20C_014_130,1,12,12
2024-05-02,IL5QIGJMRH58XSBU96H9,ticket,2024_20C_014_130,5,14,70
2024-05-02,SA4YXSPFS66LW2M53KX8,ticket,2024_20C_014_130,5,11,55
2024-05-02,FGL8NWIRTXL6EUBWI2S8,ticket,2024_20C_014_130,3,9,27
2024-05-02,QAUDITWNV2PINFJOFZHU,ticket,2024_20C_014_130,5,11,55
2024-05-02,D33BVYCYEW6F0Y0BVGJD,ticket,2024_20C_014_130,2,10,20
2024-05-02,XWMS612YYMZ13KU39SI6,ticket,2024_20C_014_130,4,8,32
2024-05-02,76JESTH18P2VQ3XXYB2B,ticket,2024_20C_014_130,5,13,65
2024-05-02,TSUY0F6OC6EVYB8BQVWU,drinks,,1,7,7
2024-05-02,3QKRZCUBCLR77LSLPBSP,ticket,2024_20C_014_130,5,11,55
2024-05-02,5U7UG1M9B2WMPBVVOUQP,ticket,2024_20C_014_130,1,9,9
2024-05-02,S15BG9XIGU8O2GLU9NF6,ticket,2024_20C_014_130,2,13,26
2024-05-02,W8SPV3SMLCPV02K0SHV3,ticket,2024_20C_014_130,5,10,50
2024-05-02,D6T3PJB670PGTU85VW90,ticket,2024_20C_014_130,2,10,20
2024-05-02,I4WA71ROEPLGGL9P2YPV,ticket,2024_20C_014_130,3,12,36
2024-05-02,LKB80GTP73DTEA0QD409,ticket,2024_20C_014_130,4,12,48
2024-05-02,WE8GHYV3VUUWCBHSWS47,drinks,,1,7,7
2024-05-02,QDDD0L1TLGNBIJ5GH4FR,ticket,2024_20C_014_130,4,10,40
2024-05-02,3L46JZA6UCYX48WPBGNT,ticket,2024_20C_014_130,5,13,65
2024-05-02,LFEZA188LJ7E3OHVNFMG,ticket,2024_20C_014_130,5,14,70
2024-05-02,CUTKOGEH4R4MJDYJCAK4,ticket,2024_20C_014_130,4,13,52
2024-05-02,MS7NVT72MJYOOUJHW4ZE,drinks,,3,5,15
2024-05-02,KKYOZNDOCI4IK8SLE9FU,ticket,2024_20C_014_130,2,15,30
2024-05-02,SFJWDR8U0S4GH2J0V160,popcorn,,1,8,8
2024-05-02,8EY1ZAWDX51XK11V1E1D,ticket,2024_20C_014_130,5,15,75
2024-05-02,LO21XDTP3G7WPJMIIXK5,drinks,,2,9,18
2024-05-02,VAO7KN3P3MSPYGCMUHED,ticket,2024_20C_014_130,3,15,45
2024-05-02,QTUTA7QVIY1YX5ZU7WLA,snacks,,3,7,21
